Sr. No,Serial no.,Scientific Name,Tree Name,Latitude,Longitude,Girth(Inch),Height(Ft),Age(years),Condition,Address,Landmark,Concern Person,Ownership,Remarks
1,W11641629945746-yj4oO,Samanea Saman,Monkey pod tree,18.15459749,74.57459886,83,25,Heritage,Good,Irrigation Colony,canol Road,A Raut,Government,Good
2,W11641630080395-yj4oO,Ficus Benghalensis,Banyan,18.15673328,74.57206015,84,28,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
3,W11641630085149-yj4oO,Ficus Benghalensis,Banyan,18.15689034,74.5721158,87,27.5,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
4,W11641630086922-yj4oO,Ficus Benghalensis,Banyan,18.15702573,74.57226902,89,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
5,W11641630087992-yj4oO,Ficus Benghalensis,Banyan,18.15721402,74.57236961,91,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
6,W11641630093703-yj4oO,Ficus Benghalensis,Banyan,18.15736757,74.57249098,88,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
7,W11641630097124-yj4oO,Ficus Benghalensis,Banyan,18.1569257,74.57202125,87,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
8,W11641630098065-yj4oO,Ficus Benghalensis,Banyan,18.1570251,74.5721044,84,25,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
9,W11641630099420-yj4oO,Ficus Benghalensis,Banyan,18.15711334,74.57217213,87,28,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
10,W11641630100508-yj4oO,Ficus Benghalensis,Banyan,18.15720414,74.57223415,89,27.5,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
11,W11641630109567-yj4oO,Ficus Benghalensis,Banyan,18.15714839,74.57233474,91,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
12,W11641630222523-yj4oO,Ficus Benghalensis,Banyan,18.1579305,74.57287453,88,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
13,W11641630223266-yj4oO,Ficus Benghalensis,Banyan,18.15794994,74.5729949,87,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
14,W11641630223939-yj4oO,Ficus Benghalensis,Banyan,18.15797606,74.57311191,84,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
15,W11641630225207-yj4oO,Ficus Benghalensis,Banyan,18.15799964,74.57326479,92,25,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
16,W11641630227132-yj4oO,Ficus Benghalensis,Banyan,18.15806749,74.57282525,94,28,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
17,W11641630228098-yj4oO,Ficus Benghalensis,Banyan,18.15810445,74.57293253,84,27.5,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
18,W11641630228739-yj4oO,Ficus Benghalensis,Banyan,18.15813503,74.57302071,92,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
19,W11641630229980-yj4oO,Ficus Benghalensis,Banyan,18.15817772,74.57314946,94,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
20,W11641630230637-yj4oO,Ficus Benghalensis,Banyan,18.15820894,74.57325339,84,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
21,W11641630236927-yj4oO,Ficus Benghalensis,Banyan,18.15839308,74.57279976,87,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
22,W11641630237404-yj4oO,Ficus Benghalensis,Banyan,18.15853421,74.57268678,89,25,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
23,W11641630239200-yj4oO,Ficus Benghalensis,Banyan,18.15884196,74.57278702,91,28,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
24,W11641630244687-yj4oO,Ficus Benghalensis,Banyan,18.15881647,74.57293086,88,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
25,W11641630246170-yj4oO,Ficus Benghalensis,Banyan,18.15879162,74.57302541,87,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
26,W11641630247259-yj4oO,Ficus Benghalensis,Banyan,18.15876231,74.57311727,84,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
27,W11641630248027-yj4oO,Ficus Benghalensis,Banyan,18.15872886,74.57321383,92,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
28,W11641630249357-yj4oO,Ficus Benghalensis,Banyan,18.15868585,74.57332145,94,27.5,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
29,W11641630250087-yj4oO,Ficus Benghalensis,Banyan,18.15862405,74.57336437,84,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
30,W11641630250860-yj4oO,Ficus Benghalensis,Banyan,18.15852943,74.5733647,87,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
31,W11641630252500-yj4oO,Ficus Benghalensis,Banyan,18.15844023,74.57333889,89,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
32,W11641630253887-yj4oO,Ficus Benghalensis,Banyan,18.15833733,74.57330234,91,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
33,W11641630301794-yj4oO,Tamarindus Indica,Tamarind,18.15827935,74.57333922,46,31,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
34,W11641630304284-yj4oO,Tamarindus Indica,Tamarind,18.15843927,74.57322389,47,33,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
35,W11641630321232-yj4oO,Tamarindus Indica,Tamarind,18.15847687,74.57223583,49,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
36,W11641630322161-yj4oO,Tamarindus Indica,Tamarind,18.15864476,74.57250874,55,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
37,W11641630355325-yj4oO,Azadirachta Indica,Neem Tree,18.15809616,74.57167726,52,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
38,W11641630359699-yj4oO,Azadirachta Indica,Neem Tree,18.1586266,74.57189754,56,25,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
39,W11641630360039-yj4oO,Azadirachta Indica,Neem Tree,18.15893148,74.57205478,59,28,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
40,W11641630369288-yj4oO,Azadirachta Indica,Neem Tree,18.15765398,74.57156125,57,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
41,W11641630369990-yj4oO,Azadirachta Indica,Neem Tree,18.15784417,74.57168933,55,27,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
42,W11641630375867-yj4oO,Azadirachta Indica,Neem Tree,18.15750838,74.57193241,61,26,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
43,W11641630395891-yj4oO,Ficus Benghalensis,Banyan,18.15777472,74.57244772,84,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
44,W11641630401994-yj4oO,Ficus Benghalensis,Banyan,18.15770877,74.57258552,87,27.5,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
45,W11641630429136-yj4oO,Ficus racemosa,Cluster fig,18.15700312,74.57282927,65,29,Heritage,Good,Irrigation Colony,Irrigation Colony,A Raut,Government,Good
